*Action(SiteID=AU|Country=AU|Currency=AUD|Version=1193|CC=UTF-8),Relationship,Relationship details,ItemID,*Category,*Title,Subtitle,CustomLabel,*ConditionID,CD:Card Condition - (ID: 40001),C:Card Condition,*C:Game,*C:Sport,PicURL,*Description,*Format,*Duration,ScheduleTime,*StartPrice,BuyItNowPrice,*Quantity,*DispatchTimeMax,ShippingProfileName,*C:Set,*C:Rarity,*C:Speciality,*C:Finish,*C:Card Type,*C:Card Name,*C:Illustrator,*C:Manufacturer,*C:Graded,*C:Attribute/MTG:Colour,*C:Card Size,*C:Character,*C:Language,*C:Stage,*C:Country/Region of Manufacture,*C:Country of Origin,*C:Age Level,*C:Card Number,*C:Year Manufactured,*C:Autographed,C:Player/Athlete,C:Signed By,C:Season,C:Parallel/Variety,C:Features,C:League,C:Team,C:Autograph Authentication,C:Autograph Authentication Number,C:Autograph Format,*C:Material,PostalCode,WeightMajor,WeightMinor,PackageLength,PackageWidth,PackageDepth,WeightUnit,BestOfferEnabled,MinimumBestOfferPrice,BestOfferAutoAcceptPrice,StoreCategory,Storecategory2,PaymentProfileName,ReturnProfileName,Location
Add,,Card=Mega Darkrai ex 048/084 Double Rare Pitch Black Pokemon Holo,,183454,Pitch Black Bulk Singles NM,,me5,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/images/2026/07/22/1b77ba7c080fce8974b1a623042cc77b.jpg,{Perfect Order}Thanks for viewing my listing!,FixedPrice,GTC,,,,,1,FREE POSTAGE,,,,,Pokemon,,,The Pokémon Company,No,,Standard,,English,,United States,United States,6+,,,No,,,,,,,,,,,Card Stock,2830,0,1,,,,kg,0,,,,,BUY IT NOW,30 DAY RETURN BP,AUS
,Variation,Card=Mega Darkrai ex 048/084 Double Rare Pitch Black Pokemon Holo;,,,,,CS-ZC5K9T,,,,,,Mega Darkrai ex 048/084 Double Rare Pitch Black Pokemon Holo=https://images.carduploader.com/catalog/english_pokemon_cards/2026/07/13/f3fde1d21954955f6de4d85abea7cdac.jpg,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
