Custom Label (SKU),Title,Price,Quantity,Condition
ME5-068-N,Toucannon Normal,,1,3000
ME5-068-RH,Toucannon Reverse Holo,,1,3000
ME5-069-N,Type: Null Normal,,1,3000
ME5-069-RH,Type: Null Reverse Holo,,1,3000
ME5-070-N,Silvally Normal,,1,3000
ME5-070-RH,Silvally Reverse Holo,,1,3000
ME5-071-N,Bombirdier Normal,,1,3000
ME5-071-RH,Bombirdier Reverse Holo,,1,3000
ME5-072-N,Antique Armor Fossil Normal,,1,3000
ME5-072-RH,Antique Armor Fossil Reverse Holo,,1,3000
ME5-073-N,Antique Skull Fossil Normal,,1,3000
ME5-073-RH,Antique Skull Fossil Reverse Holo,,1,3000
ME5-074-N,Backtrack Badge Normal,,1,3000
ME5-074-RH,Backtrack Badge Reverse Holo,,1,3000
ME5-075-N,Dark Bell Normal,,1,3000
ME5-075-RH,Dark Bell Reverse Holo,,1,3000
ME5-076-N,Fossil Quarry Normal,,1,3000
ME5-076-RH,Fossil Quarry Reverse Holo,,1,3000
ME5-077-N,Gladion's Final Battle Normal,,1,3000
ME5-077-RH,Gladion's Final Battle Reverse Holo,,1,3000
ME5-078-N,Gwynn Normal,,1,3000
ME5-078-RH,Gwynn Reverse Holo,,1,3000
ME5-079-N,Jett Normal,,1,3000
ME5-079-RH,Jett Reverse Holo,,1,3000
ME5-080-N,Misty's Vitality Normal,,1,3000
ME5-080-RH,Misty's Vitality Reverse Holo,,1,3000
ME5-081-N,Rust Syndicate Grunt Normal,,1,3000
ME5-081-RH,Rust Syndicate Grunt Reverse Holo,,1,3000
ME5-082-N,Tremendous Bomb Normal,,1,3000
ME5-082-RH,Tremendous Bomb Reverse Holo,,1,3000
ME5-083-N,Shadowy Darkness Energy Normal,,1,3000
ME5-083-RH,Shadowy Darkness Energy Reverse Holo,,1,3000
ME5-084-N,Voltaic Lightning Energy Normal,,1,3000
ME5-084-RH,Voltaic Lightning Energy Reverse Holo,,1,3000
ME5-085-H,Fomantis Holo,,1,3000
ME5-086-H,Armarouge Holo,,1,3000
ME5-087-H,Goldeen Holo,,1,3000
ME5-088-H,Primarina Holo,,1,3000
ME5-089-H,Manectric Holo,,1,3000
ME5-090-H,Slowbro Holo,,1,3000
ME5-091-H,Dhelmise Holo,,1,3000
ME5-092-H,Thievul Holo,,1,3000
ME5-093-H,Bastiodon Holo,,1,3000
ME5-094-H,Toucannon Holo,,1,3000
ME5-095-H,Silvally Holo,,1,3000
ME5-096-H,Lurantis ex Holo,,1,3000
ME5-097-H,Wailord ex Holo,,1,3000
ME5-098-H,Mega Zeraora ex Holo,,1,3000
ME5-099-H,Mega Chandelure ex Holo,,1,3000
ME5-100-H,Rampardos ex Holo,,1,3000
ME5-101-H,Mega Darkrai ex Holo,,1,3000
ME5-102-H,Morpeko ex Holo,,1,3000
ME5-103-H,Mega Excadrill ex Holo,,1,3000
ME5-104-H,Brave Bangle Holo,,1,3000
ME5-105-H,Crushing Hammer Holo,,1,3000
ME5-106-H,Dark Bell Holo,,1,3000
ME5-107-H,Energy Switch Holo,,1,3000
ME5-108-H,Gladion's Final Battle Holo,,1,3000
ME5-109-H,Gwynn Holo,,1,3000
ME5-110-H,Iron Defender Holo,,1,3000
ME5-111-H,Misty's Vitality Holo,,1,3000
ME5-112-H,Rust Syndicate Grunt Holo,,1,3000
ME5-113-H,Tremendous Bomb Holo,,1,3000
ME5-114-H,Mega Zeraora ex Holo,,1,3000
ME5-115-H,Mega Chandelure ex Holo,,1,3000
ME5-116-H,Mega Darkrai ex Holo,,1,3000
ME5-117-H,Morpeko ex Holo,,1,3000
ME5-118-H,Gladion's Final Battle Holo,,1,3000
ME5-119-H,Gwynn Holo,,1,3000
ME5-120-N,Mega Darkrai ex Normal,,1,3000
ME5-120-RH,Mega Darkrai ex Reverse Holo,,1,3000
